student_id,Age,Gender,College_location,educational_designation,educational_stream,Place_grownup_in,school_region,school_Type,school_board,learning_style,V1,A1,R1,K1,V2,A2,R2,K2,style
1,0,1,22,1,4,0,0,2,2,Multi,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1
2,0,1,22,2,2,6,0,2,2,Multi,2.0,1.6666666666666667,2.0,2.3333333333333335,4.166666666666667,3.5,3.1666666666666665,3.5,0
3,0,0,14,1,4,4,3,0,0,Multi,3.0,3.6666666666666665,2.6666666666666665,3.0,4.666666666666667,3.8333333333333335,4.333333333333333,4.0,2
4,0,1,2,2,2,4,6,2,2,K,2.6666666666666665,3.0,2.3333333333333335,3.0,3.3333333333333335,3.6666666666666665,3.5,3.8333333333333335,1
5,0,0,22,1,4,0,0,2,2,A,3.3333333333333335,3.0,3.0,3.0,3.0,3.1666666666666665,3.0,3.0,0
6,0,0,8,2,2,0,0,2,0,Multi,3.6666666666666665,4.666666666666667,4.333333333333333,2.6666666666666665,4.5,3.5,3.5,3.5,1
7,0,0,18,1,13,4,0,2,0,Multi,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.0,4.333333333333333,4.0,3.8333333333333335,4.166666666666667,0
8,3,1,14,2,2,4,4,0,0,Multi,4.0,4.0,3.6666666666666665,4.0,3.8333333333333335,3.1666666666666665,2.3333333333333335,2.8333333333333335,0
9,0,1,13,2,12,0,4,0,0,A,4.333333333333333,4.0,3.6666666666666665,4.0,3.6666666666666665,4.166666666666667,3.8333333333333335,3.8333333333333335,0
10,0,1,14,1,13,4,4,0,0,Multi,2.6666666666666665,2.3333333333333335,4.0,1.6666666666666667,3.6666666666666665,3.1666666666666665,3.6666666666666665,4.833333333333333,2
11,0,0,22,1,3,0,0,2,0,Multi,3.6666666666666665,4.0,3.3333333333333335,3.3333333333333335,3.6666666666666665,3.0,4.0,3.8333333333333335,1
12,0,0,9,2,2,0,0,2,2,K,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.3333333333333335,3.6666666666666665,3.6666666666666665,3.1666666666666665,3.5,1
13,0,0,22,1,6,6,6,0,0,A,3.0,4.0,3.6666666666666665,3.0,3.6666666666666665,3.6666666666666665,3.5,3.6666666666666665,0
14,0,0,18,1,4,6,6,2,2,Multi,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.6666666666666665,3.0,3.0,3.0,3.0,0
15,3,0,22,1,4,0,0,2,2,Multi,3.0,3.3333333333333335,3.3333333333333335,2.3333333333333335,3.6666666666666665,3.8333333333333335,3.5,3.8333333333333335,1
16,0,0,14,1,1,0,0,2,0,V,4.666666666666667,4.333333333333333,4.333333333333333,3.6666666666666665,4.666666666666667,4.333333333333333,3.1666666666666665,4.166666666666667,1
17,0,0,22,1,4,0,0,2,2,K,3.3333333333333335,3.0,3.6666666666666665,4.333333333333333,4.166666666666667,3.1666666666666665,4.0,3.5,1
18,0,1,22,1,4,6,6,2,2,K,4.666666666666667,4.0,3.6666666666666665,4.333333333333333,4.5,4.666666666666667,4.833333333333333,5.0,1
19,0,1,22,1,4,5,5,2,2,A,3.0,4.0,3.0,2.6666666666666665,3.1666666666666665,3.6666666666666665,3.1666666666666665,4.0,0
20,0,1,14,2,5,1,0,1,0,Multi,3.6666666666666665,4.0,3.6666666666666665,3.6666666666666665,4.5,4.0,2.3333333333333335,4.333333333333333,1
21,0,1,14,2,2,6,0,0,0,V,3.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,3.6666666666666665,3.5,3.3333333333333335,3.1666666666666665,2
22,0,1,22,2,2,2,1,2,2,Multi,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.0,4.166666666666667,4.333333333333333,3.6666666666666665,4.833333333333333,4
23,3,0,14,2,2,4,4,0,0,Multi,2.0,3.0,3.3333333333333335,3.3333333333333335,4.0,5.0,3.8333333333333335,4.333333333333333,1
24,0,0,18,1,13,6,6,2,2,A,3.6666666666666665,4.666666666666667,3.3333333333333335,3.3333333333333335,3.3333333333333335,4.5,3.3333333333333335,4.666666666666667,0
25,3,0,1,2,6,0,0,0,0,K,3.0,3.0,2.3333333333333335,2.6666666666666665,4.166666666666667,3.8333333333333335,3.6666666666666665,4.333333333333333,1
26,0,0,18,1,2,6,6,2,2,V,4.333333333333333,2.3333333333333335,2.3333333333333335,3.0,4.0,3.6666666666666665,3.6666666666666665,4.166666666666667,4
27,0,0,14,1,1,0,0,0,0,Multi,4.0,4.0,4.0,2.6666666666666665,3.6666666666666665,3.3333333333333335,3.3333333333333335,3.1666666666666665,2
28,0,0,6,1,4,6,6,2,2,K,4.0,4.666666666666667,3.6666666666666665,3.6666666666666665,4.5,3.5,3.3333333333333335,4.833333333333333,1
29,0,0,14,1,6,4,4,0,0,K,2.3333333333333335,3.6666666666666665,2.3333333333333335,5.0,4.666666666666667,3.6666666666666665,3.3333333333333335,4.0,1
